N,M,depol_probability,del_err,std_del_err,type
5,0,0.7194924796089978,0.0010727379795860586,0.00013715296955894095,Single-Qubit
5,0,0.8035190658813932,0.0011024568362599403,0.00010880355428405742,Single-Qubit
5,0,0.8966898656028465,0.0011130015459228189,0.0001567539752552512,Single-Qubit
5,0,1.0,0.0010635647205895352,0.0001365772874321576,Single-Qubit
5,1,0.0,0.0012125014993475383,0.00013528709836706246,Single-Qubit
5,1,0.005727644230309394,0.0011960892323500541,0.00015549467025891887,Single-Qubit
5,1,0.012078600720769734,0.0012219792984018917,0.0001550692821883901,Single-Qubit
5,1,0.019120701577921152,0.0012660334053072077,0.00013568395409255265,Single-Qubit
5,1,0.026929160753603264,0.0012618413204565095,0.00015546066825215173,Single-Qubit
5,1,0.035587377376044206,0.0013944823998250616,0.00019145411841277766,Single-Qubit
5,1,0.04518782650364872,0.0014263748130416466,0.00020750749083226804,Single-Qubit
5,1,0.05583304681528118,0.0015698523123095574,0.00019864650350413386,Single-Qubit
5,1,0.06763673578618123,0.0016146489298854013,0.00025069748658514027,Single-Qubit
5,1,0.0807249640466616,0.00177729035523583,0.00021293650377695694,Single-Qubit
5,1,0.09523752189368309,0.001900585233620707,0.00024704865298538764,Single-Qubit
5,1,0.11132941233687553,0.002167462230051594,0.000291447967051952,Single-Qubit
5,1,0.12917250662565072,0.0022715540708334392,0.00021644653054489704,Single-Qubit
5,1,0.14895737993945132,0.002491547159297403,0.00029072899112262757,Single-Qubit
5,1,0.17089534684743254,0.0027343131642053264,0.00040388537083086595,Single-Qubit
5,1,0.19522071827753298,0.003071102243380575,0.0004308911715373079,Single-Qubit
5,1,0.22219330410074656,0.0032619463221654167,0.00042719567344420676,Single-Qubit
5,1,0.2521011880597303,0.003430975421081984,0.0003819427587081469,Single-Qubit
5,1,0.28526380467968454,0.003724805198036578,0.0005142840055855153,Single-Qubit
5,1,0.3220353510247982,0.004033185424054652,0.000532467833181903,Single-Qubit
5,1,0.36280856973991177,0.004275758077654204,0.0005889666539503924,Single-Qubit
5,1,0.4080189437825957,0.004535086193656232,0.0005934615163665063,Single-Qubit
5,1,0.45814934764795806,0.004769046416747655,0.0005465857543419592,Single-Qubit
5,1,0.5137352047641086,0.004953526688521167,0.0006337231326123099,Single-Qubit
5,1,0.5753702061424232,0.0052406329899329415,0.0006504971437133888,Single-Qubit
5,1,0.6437126513613006,0.0054154190692755925,0.0006807603551673108,Single-Qubit
5,1,0.7194924796089978,0.005564605076267751,0.0007111787541773423,Single-Qubit
5,1,0.8035190658813932,0.005688517255664007,0.0007767525628185958,Single-Qubit
5,1,0.8966898656028465,0.005650291446047862,0.0007126040539837648,Single-Qubit
5,1,1.0,0.005753212956814153,0.0007497450471283844,Single-Qubit
5,2,0.0,0.0011977669987174662,0.00016478271690787102,Single-Qubit
5,2,0.005727644230309394,0.0012479656139908753,0.00016986797368368406,Single-Qubit
5,2,0.012078600720769734,0.0012561052535525294,0.00017539156254895423,Single-Qubit
5,2,0.019120701577921152,0.0012418923862912777,0.00017780567718096526,Single-Qubit
5,2,0.026929160753603264,0.0013907094588187041,0.00017108424371644267,Single-Qubit
5,2,0.035587377376044206,0.0013911542058344638,0.0001733380941413232,Single-Qubit
5,2,0.04518782650364872,0.0014344707886573699,0.00020805348174765951,Single-Qubit
5,2,0.05583304681528118,0.0015663189082241907,0.00022735158162324144,Single-Qubit
5,2,0.06763673578618123,0.0016829814664274072,0.00020660619178596704,Single-Qubit
5,2,0.0807249640466616,0.0018723164615944213,0.00026063564989055874,Single-Qubit
5,2,0.09523752189368309,0.0019923693245237997,0.00027987059678943296,Single-Qubit
5,2,0.11132941233687553,0.0021621546019713286,0.0002915694822090976,Single-Qubit
5,2,0.12917250662565072,0.0023789854814140936,0.00032810913861733195,Single-Qubit
5,2,0.14895737993945132,0.002616567041456253,0.00029623367441944127,Single-Qubit
5,2,0.17089534684743254,0.002788877531894159,0.0003909193982054382,Single-Qubit
5,2,0.19522071827753298,0.003072183457589976,0.00038063130399486236,Single-Qubit
5,2,0.22219330410074656,0.003383146990469039,0.0004538592405360577,Single-Qubit
5,2,0.2521011880597303,0.0035973062567853245,0.0005123771033034801,Single-Qubit
5,2,0.28526380467968454,0.003792382588003468,0.0005794844031112088,Single-Qubit
5,2,0.3220353510247982,0.00410315052100812,0.0005374237704470241,Single-Qubit
5,2,0.36280856973991177,0.004351038619806016,0.000621059641668115,Single-Qubit
5,2,0.4080189437825957,0.004531019155640859,0.0005689131730434581,Single-Qubit
5,2,0.45814934764795806,0.004766092684218328,0.0005856439843364024,Single-Qubit
5,2,0.5137352047641086,0.004939063629116069,0.000667439193272457,Single-Qubit
5,2,0.5753702061424232,0.0051173758657504865,0.0007725476838557341,Single-Qubit
5,2,0.6437126513613006,0.005261950882020432,0.0007136594066992031,Single-Qubit
5,2,0.7194924796089978,0.005314059154249148,0.0007167376699607274,Single-Qubit
5,2,0.8035190658813932,0.005421046506913089,0.0006138074144392715,Single-Qubit
5,2,0.8966898656028465,0.005414764800997259,0.0007442957099868402,Single-Qubit
5,2,1.0,0.005438925978071768,0.0006946174926182011,Single-Qubit
5,3,0.0,0.0012040254904568343,0.00013690882233257634,Single-Qubit
5,3,0.005727644230309394,0.001211460011798054,0.0001781589463371615,Single-Qubit
5,3,0.012078600720769734,0.0011921755735154215,0.0001875110515903044,Single-Qubit
5,3,0.019120701577921152,0.0012717804591184593,0.0001568670719612927,Single-Qubit
5,3,0.026929160753603264,0.0012823660495454234,0.0001479864348016786,Single-Qubit
5,3,0.035587377376044206,0.0014200940626545768,0.00016516742379993563,Single-Qubit
5,3,0.04518782650364872,0.0015678006712458998,0.00019432830680523962,Single-Qubit
5,3,0.05583304681528118,0.0016321391750201972,0.00018024708184710814,Single-Qubit
5,3,0.06763673578618123,0.0018975755186622356,0.00022567738265601988,Single-Qubit
5,3,0.0807249640466616,0.0020220713099021763,0.0002166704100113514,Single-Qubit
5,3,0.09523752189368309,0.0022543885381471162,0.00026232623673338567,Single-Qubit
5,3,0.11132941233687553,0.002424967479309781,0.00027277866765547544,Single-Qubit
5,3,0.12917250662565072,0.0026499798446625363,0.0003034326273580585,Single-Qubit
5,3,0.14895737993945132,0.0029558609335016,0.0004396870543962286,Single-Qubit
5,3,0.17089534684743254,0.003065108108094614,0.0003497089326837264,Single-Qubit
5,3,0.19522071827753298,0.00344949829168807,0.00039304494754342756,Single-Qubit
5,3,0.22219330410074656,0.0037766025882669824,0.00045089312343546065,Single-Qubit
5,3,0.2521011880597303,0.003958732740934194,0.0004552692176363533,Single-Qubit
5,3,0.28526380467968454,0.0042373429765696635,0.00046816557532238553,Single-Qubit
5,3,0.3220353510247982,0.0043375559579528645,0.0004614283525428876,Single-Qubit
5,3,0.36280856973991177,0.00467438536325255,0.0005516911145183473,Single-Qubit
5,3,0.4080189437825957,0.00490908904207644,0.0004929847001009279,Single-Qubit
5,3,0.45814934764795806,0.0050525546343414135,0.0005458137413387026,Single-Qubit
5,3,0.5137352047641086,0.00519022873048902,0.0005634894273243234,Single-Qubit
5,3,0.5753702061424232,0.005364135385012559,0.0006119704384503867,Single-Qubit
5,3,0.6437126513613006,0.005469076918547497,0.0005739425674132665,Single-Qubit
5,3,0.7194924796089978,0.005579350263023184,0.000637397108177506,Single-Qubit
5,3,0.8035190658813932,0.005599876503888822,0.0006621644955532271,Single-Qubit
5,3,0.8966898656028465,0.005593035447131182,0.0006033633925380927,Single-Qubit
5,3,1.0,0.005572677171265027,0.0006377542476615266,Single-Qubit
5,4,0.0,0.0012264703600843294,0.00011807893263254018,Single-Qubit
5,4,0.005727644230309394,0.0012655630604553256,0.0001356757223605117,Single-Qubit
5,4,0.012078600720769734,0.0012553083315692021,0.0001301719594617079,Single-Qubit
5,4,0.019120701577921152,0.0012736880673422195,0.0002027471348349532,Single-Qubit
5,4,0.026929160753603264,0.0012613540045868037,0.0001465290756842447,Single-Qubit
5,4,0.035587377376044206,0.0014850923107173225,0.00015347438551124756,Single-Qubit
5,4,0.04518782650364872,0.0015188667507511737,0.0001844421405443616,Single-Qubit
5,4,0.05583304681528118,0.0016834743461185523,0.0001910145595541047,Single-Qubit
5,4,0.06763673578618123,0.001907853895288028,0.0002347461288810265,Single-Qubit
5,4,0.0807249640466616,0.002094191011590654,0.0003048447350548466,Single-Qubit
5,4,0.09523752189368309,0.0022825469962775317,0.00024081476902189375,Single-Qubit
5,4,0.11132941233687553,0.0025152495308616843,0.00035825747756022683,Single-Qubit
5,4,0.12917250662565072,0.0027753039530124543,0.00032004973792503893,Single-Qubit
5,4,0.14895737993945132,0.002984810224470653,0.000437438776705614,Single-Qubit
5,4,0.17089534684743254,0.003282159404444949,0.00040577815664436076,Single-Qubit
5,4,0.19522071827753298,0.0035755626840583104,0.0005250144487927526,Single-Qubit
5,4,0.22219330410074656,0.0036977455972083337,0.0005252244747842888,Single-Qubit
5,4,0.2521011880597303,0.004076706232189654,0.0005690844689276078,Single-Qubit
5,4,0.28526380467968454,0.004255544660854665,0.000624245175090843,Single-Qubit
5,4,0.3220353510247982,0.004512590252259555,0.0006677047669020677,Single-Qubit
5,4,0.36280856973991177,0.004708758093484593,0.000621337405375056,Single-Qubit
5,4,0.4080189437825957,0.004944498651219762,0.0006982420110742052,Single-Qubit
5,4,0.45814934764795806,0.005128946666764165,0.0006871094029869758,Single-Qubit
5,4,0.5137352047641086,0.0052237479848862,0.0007479004777764061,Single-Qubit
5,4,0.5753702061424232,0.0052732436790325415,0.0007976873620833353,Single-Qubit
5,4,0.6437126513613006,0.005381432804972061,0.0006476797008653986,Single-Qubit
5,4,0.7194924796089978,0.005386554897969641,0.0007599904058878921,Single-Qubit
5,4,0.8035190658813932,0.005434540296566326,0.0006515319467079135,Single-Qubit
5,4,0.8966898656028465,0.005458298083132654,0.0006945034938561173,Single-Qubit
5,4,1.0,0.005452954613448161,0.000718191146203364,Single-Qubit
5,5,0.0,0.0012102844006550242,0.0001337247306612255,Single-Qubit
5,5,0.005727644230309394,0.0012217812185108057,0.00014052496749824493,Single-Qubit
5,5,0.012078600720769734,0.001226014345928105,0.00016547636887961673,Single-Qubit
5,5,0.019120701577921152,0.0013609342683230578,0.000144659835120721,Single-Qubit
5,5,0.026929160753603264,0.001400511497535184,0.00018461809918476693,Single-Qubit
5,5,0.035587377376044206,0.0015936013481620312,0.00023625676692108248,Single-Qubit
5,5,0.04518782650364872,0.001716828596997934,0.0002641543914761965,Single-Qubit
5,5,0.05583304681528118,0.0018344768611441215,0.00023064418815957671,Single-Qubit
5,5,0.06763673578618123,0.002060715957388114,0.0002521114975624353,Single-Qubit
5,5,0.0807249640466616,0.002193086579118616,0.0003278846770061841,Single-Qubit
5,5,0.09523752189368309,0.002582129327542355,0.00034821180400948477,Single-Qubit
5,5,0.11132941233687553,0.002770045248320701,0.00038172280377044113,Single-Qubit
5,5,0.12917250662565072,0.002994363395422948,0.00037386159394474746,Single-Qubit
5,5,0.14895737993945132,0.0032803140079958448,0.0004941073634004443,Single-Qubit
5,5,0.17089534684743254,0.0036175263794064197,0.0004540057421499607,Single-Qubit
5,5,0.19522071827753298,0.003809043348550897,0.0005719722538978368,Single-Qubit
5,5,0.22219330410074656,0.004120698782144197,0.0005682603284492986,Single-Qubit
5,5,0.2521011880597303,0.004487029418833433,0.000642273065679413,Single-Qubit
5,5,0.28526380467968454,0.004636686862935672,0.0006015907511809986,Single-Qubit
5,5,0.3220353510247982,0.004951694743406445,0.0006446672858446558,Single-Qubit
5,5,0.36280856973991177,0.005141903772598616,0.0006484599677595658,Single-Qubit
5,5,0.4080189437825957,0.005332057069966566,0.0007559291819603547,Single-Qubit
5,5,0.45814934764795806,0.0053860508610865205,0.0006720810030996982,Single-Qubit
5,5,0.5137352047641086,0.005545036511588973,0.000677096400376754,Single-Qubit
5,5,0.5753702061424232,0.005627571716868485,0.0007217225884753215,Single-Qubit
5,5,0.6437126513613006,0.005652071833136063,0.0007731519766118001,Single-Qubit
5,5,0.7194924796089978,0.005677435460668605,0.0007692494056459316,Single-Qubit
5,5,0.8035190658813932,0.0056707241451870475,0.0007083849886747298,Single-Qubit
5,5,0.8966898656028465,0.005667666778511427,0.0006851721527957535,Single-Qubit
5,5,1.0,0.005726066188937133,0.000699421601918946,Single-Qubit
